,ImageName,Labels
0,demoaimages/img1.jpg,WHAT
1,demoaimages/33.jpg,MEMOREX
2,demoaimages/34.jpg,COMPACT
3,demoaimages/38.jpg,PROFESSIONAL
4,demoaimages/36.jpg,RECORDABLE
5,demoaimages/60.jpg,EUROPE
6,demoaimages/59.jpg,PRODUCTS
11,demoaimages/50.jpg,COMPATIBLE
12,demoaimages/57.jpg,IMPORTED
13,demoaimages/61.jpg,5
15,demoaimages/71.jpg,TESCO
16,demoaimages/72.jpg,VALUE
17,demoaimages/73.jpg,WASHING
18,demoaimages/74.jpg,UP
19,demoaimages/75.jpg,LIQUID
20,demoaimages/76.jpg,SAFETY
21,demoaimages/77.jpg,NOTICE
23,demoaimages/10.jpg,STOP
24,demoaimages/13.jpg,PEPSI
25,demoaimages/19.jpg,SMOKIN
26,demoaimages/41.jpg,DISC
27,demoaimages/59.jpg,PRODUCTS
28,demoaimages/60.jpg,EUROPE
29,demoaimages/80.jpg,BECOME
30,demoaimages/135.jpg,JACOBSON
31,demoaimages/153.jpg,RECORDS
